,User,Text,Date,Hashtags
589,PrizQ30,Let me prophecy. I tweeted about how she's my crush and she caight on. We met after Covid19 lockdown and we had a bomb ass lunch and she invited me over for a nightcap and the rest is history I'm pregnant with her baby ,2020-03-31 21:53:56+00:00,
590,s__hardy,"Well for those of you who had Day 17 as when I'd finally snap, you win! #lockdown #myChildrenAreDrivingMeNuts #COVID19",2020-03-31 21:53:55+00:00,#lockdown #myChildrenAreDrivingMeNuts #COVID19
591,RayAnnD21,She keeps saying full mitigation like we've done that. We don't have a national lockdown. #PressBriefing #COVID19 #lockdown,2020-03-31 21:53:46+00:00,#PressBriefing #COVID19 #lockdown
592,aderaji15,@cbngov_akin1 Please this is Lagos few hours after lockdown....does this makes any sense to you? @seyiamakinde is doing the right thing with partial lockdown. Citizens needs to do their part to make it work efficiently. Stay safe. Hunger and fear kills faster than covid19. ,2020-03-31 21:53:35+00:00,
593,HarryOxford6,US offers to lift #Venezuela sanctions #lockdown #COVID19 #StaySafe #coronavirusuk #CoronavirusUSA #writingcommunity #globalpattern #CoronaLockdown #SelfIsolation #COVID19 #NHSuk,2020-03-31 21:53:22+00:00,#Venezuela #lockdown #COVID19 #StaySafe #coronavirusuk #CoronavirusUSA #writingcommunity #globalpattern #CoronaLockdown #SelfIsolation #COVID19 #NHSuk
594,debbie_l_c,"Looking back on the #lockdown in years to come, what’s going to be your one accomplishment? Mines going to be my Mint Poppet Brownie recipe #baking #COVID19",2020-03-31 21:53:21+00:00,#lockdown #baking #COVID19
595,Mubashirlodi,Punishment for violating lockdown #corona #COVID19 ,2020-03-31 21:53:08+00:00,#corona #COVID19
596,kylebrewermusic,"According to the traffic all of OKC is essential. Way to go, gang. #coronavirus #COVID19 #okc #lockdown",2020-03-31 21:53:04+00:00,#coronavirus #COVID19 #okc #lockdown
597,Television_Crit,Sports & News Presenter @rtenews #PaulOFlynn @OFlynnPaul has certainly a great pair of legs on him while working remotely from home showing the viewers some new exercise regimes #GymBuddies #Covid19Lockdown,2020-03-31 21:52:45+00:00,#PaulOFlynn #GymBuddies #Covid19Lockdown
598,rob_cosentini,"Day #40 of #COVID19 surge. 1.700 ED COVID patients, 1.000 pneumonias admitted, &gt;300 with ARDS. After the peak of March 17th, we are in the plateau phase, waiting for a decrease. Lockdown and contagion limitation begin to work, a hope for those who're fighting the epidemic",2020-03-31 21:52:45+00:00,#COVID19
599,mainvocaltaeil,"first this lockdown closed my fave burrito place. now it’s cancelled pride. covid19, you are a bitch. B-I-C-T-H.",2020-03-31 21:52:44+00:00,
600,CrimeWarrior,"@TanYCastell1 Watching the fabulous #StDavidsBritainsSmallestCity series, whilst munching your glorious Welsh Cakes. An awesome find in my home Derby @sainsburys this week! Rocking #COVID19lockdown! #cymruambyth #Pembrokeshire #stdavids",2020-03-31 21:52:42+00:00,#StDavidsBritainsSmallestCity #COVID19lockdown #cymruambyth #Pembrokeshire #stdavids
601,ChristianFtns,Before lockdown vs After lockdown. Trims are gonna be a joke #COVID19 ,2020-03-31 21:52:25+00:00,#COVID19
602,thegreenitch,With just 15€ you can feed an indigenous family affected by #COVID19 lockdown with three weeks' worth of food. Every donation entitles you to receive a handwoven notepad by indigenous Higaonons from the #Philippines More info at https://www.instagram.com/thegreenitch/ 1/3,2020-03-31 21:52:13+00:00,#COVID19 #Philippines
603,GinaMeeks,Good news: Our youngest is officially potty trained! Bad news: We’re going through toilet paper & hand soap at an alarming rate. #parenting #pottytraining #COVID19 #Lockdown #StayAtHome,2020-03-31 21:52:13+00:00,#parenting #pottytraining #COVID19 #Lockdown #StayAtHome #StayAtHome
