,User,Text,Date,Hashtags
61,JasbirMalhi1,"Cremains hanged on a tree after cremation at sector 25 Chandigarh, due to all lockers are full, during Lockdown due to COVID19 Pandemic on Wednesday, April 01 2020. Express photo by jasbir Malhi @Sector 25 https://www.instagram.com/p/B-94awElWsP/?igshid=1fbls04rc5hnc",2020-04-14 15:49:23+00:00,
62,jatinmorwal_,#PUBGMOBILE #StayHome #lockdown #يزيد_الراجحي #استشهاد_عبدالرحيم_الحويطي #BreakingNews #큰성공_직원관리_아티스트_보호해 #น้ําใจคนไทย #sophieNdaba #COVID19 #mulamwah #ผู้กองเบนซ์ #depremistanbul #coronavirus #sophieNdaba #endthelockdownnow #LiveAtLunchxBrightWin,2020-04-14 10:23:05+00:00,#PUBGMOBILE #StayHome #StayHome #lockdown #BreakingNews #sophieNdaba #COVID19 #mulamwah #depremistanbul #coronavirus #sophieNdaba #endthelockdownnow #LiveAtLunchxBrightWin
63,vinod_41,"Nice, sir. I also started using twitter during this lockdown/covid19 event. Hope you'll get your other acc. Back.",2020-04-14 07:36:00+00:00,
64,karanrajkapur,The #lockdown has just been extended till May 3. Hon'ble Prime Minister @narendramodi ji addressed the nation highlighting how India and the world are united against #covid19 and how well are we prepared to fight… https://www.instagram.com/p/B-84oh3je2g/?igshid=18xwh5irjfudt,2020-04-14 06:32:02+00:00,#lockdown #covid19
65,SnehSharan,"He will name anyone to give respect but not the bank employees.. Earlier too, they, the bankers worked too hard to achieve the goals he gave and in the end, the name of ministry of finance was given the honour in the record books #Covid19 #lockdown #modispeaks",2020-04-14 04:58:46+00:00,#Covid19 #lockdown #modispeaks
66,SnehSharan,"लो जी, कल लो बात 3 मई तक बढ़ गई सब की हवालात #lockdown #Covid19",2020-04-14 04:46:54+00:00,#lockdown #Covid19
67,theofficexperts,"Entire #India eagerly awaits Hon PM @narendramodi ji #Lockdownextention announcement #Stayhome, obey Rules &amp; #support govt in extension of lockdown #Lockdown2.0 #CoronavirusOutbreakindia #IndiaFightsCoronavirus #COVID19 #Covid_19india #COVID19outbreak #LockdownExtended",2020-04-13 22:29:33+00:00,#India #Lockdownextention #Stayhome #Stayhome #support #Lockdown2 #CoronavirusOutbreakindia #IndiaFightsCoronavirus #COVID19 #Covid_19india #COVID19outbreak #LockdownExtended
68,Techhealth99,One side #COVID19 and other side Pak Mortar shelling in Civilian area #Poonch Balakote and #Mendhar how to survive #Balakote #poonch #shelling #ceasefireviolation #COVID2019 #COVID__19 #Patiala #JammuAndKashmir #lockdown #Lockdownextention #balakot #LOC #4G #Latestnews #news,2020-04-13 03:56:14+00:00,#COVID19 #Poonch #Mendhar #Balakote #poonch #shelling #ceasefireviolation #COVID2019 #COVID__19 #Patiala #JammuAndKashmir #lockdown #Lockdownextention #balakot #LOC #4G #Latestnews #news
69,Techhealth99,@PMOIndia Whole World is Fighting with #COVID19 People #stayinghome but the People of #Jammu #punch suffers from Pak #Mortar #Shelling one side #COVID__19 Other side #PakShelling what to Do #ModiLeadingTheWorld #CoronavirusOutbreakindia #FightCovid19 #lockdown #DoctorWho,2020-04-12 04:09:30+00:00,#COVID19 #stayinghome #Jammu #punch #Mortar #Shelling #COVID__19 #PakShelling #ModiLeadingTheWorld #CoronavirusOutbreakindia #FightCovid19 #lockdown #DoctorWho
70,vpsbadnore,#Covid19 WarRoom Review: April 11 Participated in the Hon’ble PM’s video conference with the CMs /Administrators of all the states/UTs Will follow the PMs directions re-extension of lockdown/curfew and the new approach proposed by him: #JaanHaiTohJahanHai #StayHomeStaySafe,2020-04-11 14:52:33+00:00,#Covid19 #JaanHaiTohJahanHai #StayHomeStaySafe
71,SnehSharan,Other countries are doing away with the utilities bills during the lockdown but here we have not learnt anything. This message shows impunity to the #lockdown #Covid19 ,2020-04-11 14:19:19+00:00,#lockdown #Covid19
72,DalpathSuresh,Wearing good quality mask is one of key to curtail COVID19 transmission. There may be acute shortage of these due to extended lockdown. The self-help groups of NRLM may be asked to prepared three layer face masks on large scale. ,2020-04-11 09:58:17+00:00,
73,SSohaard,The sound of peacocks in mornings and evenings are so delightful . Thanks to close to no sound of vehicles or construction work . #IndiaLockdown #COVID19Lockdown #COVID19Pandemic,2020-04-10 14:41:17+00:00,#IndiaLockdown #COVID19Lockdown #COVID19Pandemic
74,SnehSharan,BSNL Internet started after 8 days and now there's no electricity supply... With temperature soaring to 33 degrees #Covid19 #lockdown #pmoindia #Narendermodi,2020-04-10 10:22:34+00:00,#Covid19 #lockdown #pmoindia #Narendermodi
75,sumeetjindalin,"A Thank You to entire administration including the government, State as well as Central which took this #Lockdown decision in time. Else, today instead of 5k #COVID19 positive cases we would have mourning 5k deaths. @narendramodi @capt_amarinder",2020-04-09 10:03:12+00:00,#Lockdown #COVID19
76,zsanjmusic,Remember happiness can be found even in the darkest times. ZSANJ - LOCKDOWN #Coronavirus #Narendermodi #zsanj #zsanjmusic #hindirap #chandigarh #lockdown #pmmodi #covid19 #GoCoronaGo #Covid19Out #corona @narendramodi @BeingSalmanKhan @akshaykumar @iambohemia @RanveerOfficial,2020-04-08 11:23:35+00:00,#Coronavirus #Narendermodi #zsanj #zsanjmusic #hindirap #chandigarh #lockdown #pmmodi #covid19 #GoCoronaGo #Covid19Out #corona
77,DSamujh,"We Healthcare workers from PGIMER Chandigarh are with you in fight against COVID19 . We will win over Corona. In my personal view, Lockdown should be extended for 1 more month keeping in view of the present situation.",2020-04-08 06:54:44+00:00,
78,vpsbadnore,#COVID19 #WarRoom Review on April 6; Sanitisation drive is on; Sector 26 Mandi Sanitised Cleanliness and hygiene is being ensured.Another day passed without any positive case.Residents are advised to keep following social distancing norms&amp; lockdown advisories #StayHomeStaySafe,2020-04-06 14:47:46+00:00,#COVID19 #WarRoom #StayHomeStaySafe
79,vpsbadnore,"#COVID19 War Room Review, April 5: 2 more patients discharged in Chd after recovering from #Covid_19 ,13 still under treatment.I appreciate the city residents for their cooperation during lockdown along with planned distribution of food packages in Vill. Faidan #StayHomeStaySafe",2020-04-05 14:23:56+00:00,#COVID19 #Covid_19 #StayHomeStaySafe
80,RediFilmsPro, Don't Use Sanitiser while lighting candles or Divas on 05th April 05 ਅਪ੍ਰੈਲ ਨੂੰ ਦੀਵਾ ਜਾਂ ਮੋਮਬੱਤੀਆਂ ਜਗਾਉਣ ਤੋਂ ਪਹਿਲਾਂ ਹੱਥਾਂ ਉਤੇ ਸੈਨੀਟਾਇਜ਼ਰ ਨਾਂ ਲਗਾਇਆ ਜਾਵੇ ਇਸ ਨਾਲ ਅੱਗ ਲੱਗ ਸਕਦੀ ਹੈ #RediProductions #5aprile #covid19 #lockdown #21daylockdown #5April9PM9Minutes #5April9Baje,2020-04-04 12:36:13+00:00,#RediProductions #5aprile #covid19 #lockdown #21daylockdown #5April9PM9Minutes #5April9Baje
81,V_D_001,#COVID19 #Humans #Lockdown #Animals on tour to view city beautiful #Chandigarh. @ChandigarhAdmin @927bigfmchd @DDnewschd @airnews_chd @TOIChandigarh,2020-04-03 17:18:50+00:00,#COVID19 #Humans #Lockdown #Animals #Chandigarh
0,thezahii,"Hukum E hakim hai koi ghar se na baher jaye, Hum farmabardaar apne gharon mai qaid hai. #COVID19 #lockdown #Quarantine #MondayMood @hiambuj @midhatkidwai",2020-03-30 14:46:27+00:00,#COVID19 #lockdown #Quarantine #MondayMood
1,BharatiyaYankee,Whatever happened to the administration commitment to ban plastic bags? #COVID19 #Lockdown #SingleUsePlastics @paveela @CleanChandigarh,2020-03-30 11:45:44+00:00,#COVID19 #Lockdown #SingleUsePlastics
2,divyanshugulati,And i guess even you are NOT enough EDUCATED to know that this pandemic has affected the most powerful and educated countries far more than it affected India under lockdown !!! #pandemic #covid19,2020-03-30 10:18:38+00:00,#pandemic #covid19
3,basantark,"As lockdown with Curfew continues in #Chandigarh, a leopard has come out and entered a house in Sector 5, perhaps to find out what’s wrong with humans these day ! #lockdown #Covid19 #nature",2020-03-30 09:10:18+00:00,#Chandigarh #lockdown #Covid19 #nature
4,theofficexperts,#StaySafeStayHome #IndiaFightCorona Worldwide confirmed #COVID19 cases crossed 700K &amp; more than 150K people have recovered. In India #Covid_19india count has reached 1139 &amp; good 90 people have recovered #CoronaVirusUpdates #IndiaFightsCOVID19 #Covid_19 #COVID #COVID19 #lockdown ,2020-03-29 20:00:31+00:00,#StaySafeStayHome #IndiaFightCorona #COVID19 #Covid_19india #CoronaVirusUpdates #IndiaFightsCOVID19 #Covid_19 #COVID #COVID19 #lockdown
5,Techhealth99,Police ne Acha Descison liya Hai. Haddie Ager Tut Gye uska ilag Bad me Hojye Ga par COVID19 ka Nahi Read Once again Rest is Your choice #LockdownWithoutPlan #lockdown #IndiaLockdownFor21Days #COVID19italia #corona #CurfewInIndia #KashmirLockedWorldLocked #DailyWagers #SARSCoV2,2020-03-29 15:37:21+00:00,#LockdownWithoutPlan #lockdown #IndiaLockdownFor21Days #COVID19italia #corona #CurfewInIndia #KashmirLockedWorldLocked #DailyWagers #SARSCoV2
6,BharatiyaYankee,"Chandigarh lockdown was going well, &amp; essential commodities door-2-door was gaining effectiveness, but then our Administrator @vpsbadnore tweaked the lockdown rules &amp; opened markets encouraging residents to walk to marketplace. COVID19 informed residents feel door-2-door was ok.",2020-03-29 05:38:43+00:00,
7,theofficexperts,"#IndiaFightsCoronavirus #BreakTheChain #StayAtHome, obey #lockdown, #StayAtHomeAndStaySafe #help people stuck in #NewDelhi #DelhiHungerReliefCentres #PMCares #coronavirus #IndiaFightsCOVID19 #COVID #COVID19 #COVID19outbreak #WHO #CoronaLockdown #CoronaVirusUpdate",2020-03-28 19:37:12+00:00,#IndiaFightsCoronavirus #BreakTheChain #StayAtHome #StayAtHome #lockdown #StayAtHomeAndStaySafe #help #NewDelhi #DelhiHungerReliefCentres #PMCares #coronavirus #IndiaFightsCOVID19 #COVID #COVID19 #COVID19outbreak #WHO #CoronaLockdown #CoronaVirusUpdate
