,User,Text,Date,Hashtags
6131,sahara_lestari,"Yang memikirkan masalah ekonomi bagi 'rakyat jelata' itu pemerintah, bukan malah meneruskan proyek pindah ibukota baru sementara tujuan lockdown itu mencegah covid19 menyebar. Mikir dong ",2020-03-31 12:34:29+00:00,
6132,DrNeela20,"@PMOIndia Considering present lockdown situation due to Covid19 pandemic, it's a request to extend the last date of PAN-Adhar linking for the sake of country men. Please consider.",2020-03-31 12:34:15+00:00,
6133,robinson4eva,"it's a pity these guys know the money will be looted and yet they still donate.. What does it tell me, They benefit from the looting. #TheLockdown #COVID19 #StayAtHome #lockdown #COVID #StaySafe #SocialDistancing",2020-03-31 12:34:14+00:00,#TheLockdown #COVID19 #StayAtHome #StayAtHome #lockdown #COVID #StaySafe #SocialDistancing
6134,kliklynow,"#HomeSanitization, Anti-Bacterial &amp; #PestControl Essential disinfection services at your Doorstep during lockdown!! Remove germs and viruses. Book Now and get 10% Discount. Click Here - https://bit.ly/3ayGjZd #HomeSanitization #COVID19 #Covid19India #AntiBacterialPestcontrol",2020-03-31 12:34:13+00:00,#HomeSanitization #PestControl #HomeSanitization #COVID19 #Covid19India #AntiBacterialPestcontrol
6135,PDCricket,"You may be going mad without cricket, but think of this as an opportunity for greatness, as Aristotle once said ""No great mind has ever existed without madness"" #Cricket #COVID19 #lockdown",2020-03-31 12:34:11+00:00,#Cricket #COVID19 #lockdown
6136,Gary161718,Zvaariye ati mayouth pindai munzira to protest while the country is in lockdown to slow the spread of covid19,2020-03-31 12:34:07+00:00,
6137,Merynush9932,@narendramodi Coronavirus country lockdown के बीच Covid19 patien(240P),2020-03-31 12:34:05+00:00,
6138,SilveryMane,why on earth are we running round trying to repatriate British people travelling in countries that are also on lockdown? watch #COVID19 rates rise on their return.. lockdown means lockdown stop accepting flights stop Chunnel use for travelling apart from trade,2020-03-31 12:34:03+00:00,#COVID19
6139,Anette33846693,"Hallo #Rutte, #RIVM stop met je politiek campagne (#gratisgeld) en ga nu eens het Nederlandse volk Beschermen(#CoronaCrisis). Stop #groepsimmuniteit! #lockdown #COVID19 #coronanederland #coronavirus #RIVM : 175 doden en 722 nieuwe ziekenhuisopnames",2020-03-31 12:34:02+00:00,#Rutte #RIVM #gratisgeld #CoronaCrisis #groepsimmuniteit #lockdown #COVID19 #coronanederland #coronavirus #RIVM
6140,AAInsurancePlc,#Lockdown Day 1: Are you staying indoors? Obey the government directives where you are to stop the spread of #COVID19 #StaySafe #FlattenTheCurve #StayAtHome #SocialDistancing,2020-03-31 12:33:54+00:00,#Lockdown #COVID19 #StaySafe #FlattenTheCurve #StayAtHome #StayAtHome #SocialDistancing
6141,Im_SyedIbrahim,.@aimim_national Bahadurpura MLA @mohdmoazamkhan today along with AIMIM Corporators distributed 12KG rice &amp; ₹500 among the migrant labourers who have been affected due to #COVID19 lockdown under Bahadurpura Constituency. @asadowaisi,2020-03-31 12:33:51+00:00,#COVID19
6142,Who_London,This weekend won't be like the last one! Who London's virtual pub has opened. #50plus book your ticket to our online event: http://bit.ly/2WSvSvE #Who50Events #Isolation #lockdown #coronavirus #COVID19 ,2020-03-31 12:33:39+00:00,#50plus #Who50Events #Isolation #lockdown #coronavirus #COVID19
6143,UmarNazirReal,When BJP IT cell give epidemic a religious colour. When Yogi is allowed even after lockdown to do so call Ram Mandir discussions. When Muslims are blamed for covid19. Understand Jinnah was right. #Islamophobia,2020-03-31 12:33:38+00:00,#Islamophobia
